,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
2108,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2109,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2110,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2111,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2112,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2113,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2114,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2115,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2116,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2117,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2118,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2119,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2120,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2121,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2122,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2123,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2124,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2125,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2126,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2127,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2128,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2129,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2130,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2131,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2132,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2133,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2134,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2135,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2136,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2137,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2138,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2139,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2140,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2141,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2142,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2143,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2144,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2145,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2146,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2147,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2148,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2149,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2150,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2151,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2152,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2153,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2154,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2155,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2156,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2157,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2158,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2159,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2160,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2161,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2162,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2163,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2164,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2165,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2166,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2167,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2168,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2169,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2170,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2171,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2172,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2173,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2174,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2175,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2176,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2177,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2178,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2179,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2180,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2181,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2182,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2183,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2184,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2185,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2186,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2187,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2188,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2189,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2190,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2191,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2192,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2193,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2194,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2195,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2196,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2197,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2198,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2199,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2200,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2201,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2202,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2203,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2204,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2205,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2206,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2207,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2208,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2209,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2210,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2211,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2212,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2213,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2214,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2215,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2216,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2217,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2218,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2219,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2220,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2221,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2222,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2223,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2224,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2225,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2226,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2227,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2228,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2229,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2230,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2231,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2232,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2233,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
